Week,R04.%ILI,USA.%ILI,TN.%ILI,D10.%ILI
2015.30,0.82,0.81,0.12,0.0
2015.31,0.78,0.82,0.15,0.0
2015.32,0.79,0.82,0.22,0.0
2015.33,0.77,0.85,0.26,0.0
2015.34,0.81,0.89,0.30,0.0
2015.35,1.02,0.96,0.42,0.0
2015.36,1.08,1.02,1.04,0.0
2015.37,1.06,1.08,0.62,0.0
2015.38,1.23,1.18,0.63,0.0
2015.39,1.21,1.17,0.37,0.0
2015.40,1.24,1.25,0.75,0.3
2015.41,1.34,1.32,0.63,0.0
2015.42,1.61,1.40,0.86,0.8
2015.43,1.43,1.36,0.66,0.0
2015.44,1.63,1.47,0.71,0.4
2015.45,1.63,1.53,0.59,0.2
2015.46,1.79,1.61,1.06,0.0
2015.47,2.08,1.90,1.20,0.0
2015.48,1.94,1.74,0.82,0.0
2015.49,2.08,1.82,1.66,0.0
2015.50,2.29,1.97,1.59,1.8
2015.51,2.70,2.42,1.58,0.0
2015.52,2.64,2.41,1.27,0.8
2016.01,2.26,2.00,1.25,0.0
2016.02,2.18,1.99,1.51,0.0
2016.03,2.12,2.11,1.91,0.0
2016.04,1.99,2.18,0.84,0.2
2016.05,1.79,2.30,1.77,0.2
2016.06,2.03,2.68,1.80,0.2
2016.07,2.35,2.98,2.05,1.9
2016.08,2.79,3.12,3.74,2.0
2016.09,3.28,3.32,3.34,2.1
2016.10,3.86,3.59,3.88,1.0
2016.11,3.44,3.09,2.35,1.6
2016.12,3.04,2.79,2.95,2.1
2016.13,2.76,2.53,2.88,1.4
2016.14,2.35,2.12,1.70,0.0
2016.15,2.39,2.05,2.65,0.4
2016.16,2.53,2.00,2.37,0.2
2016.17,2.35,1.78,2.77,0.0
2016.18,2.04,1.60,2.92,0.0
2016.19,1.79,1.47,1.87,0.0
2016.20,1.68,1.43,1.62,0.0
2016.21,1.68,1.39,2.23,0.0
2016.22,1.67,1.34,1.91,0.0
2016.23,1.36,1.14,1.62,0.0
2016.24,1.35,1.09,2.16,0.0
2016.25,1.23,1.00,1.20,0.0
2016.26,1.21,1.00,1.55,0.0
2016.27,1.10,0.93,0.97,0.0
2016.28,0.94,0.85,1.23,0.0
2016.29,0.90,0.84,0.82,0.0
2016.30,0.96,0.83,1.37,0.0
